date,campaign_id,channel,keyword,audience,bid_strategy,bid_spend,quality_score,landing_page_performance
2025-11-22,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Retarget 30D,Cost Cap,1226.65,9.4,0.705
2025-11-23,CAMP_GGL_BRAND_01,Google Ads,stock trading app,KYC Dropoff,Maximize Conversions,2945.18,6.7,0.416
2025-11-23,CAMP_GGL_BRAND_01,Google Ads,best trading platform,High Intent Traders,Target CPA,2411.84,9.1,0.433
2025-11-23,CAMP_GGL_BRAND_01,Google Ads,stock trading app,High Intent Traders,Target ROAS,3301.08,6.6,0.26
2025-11-23,CAMP_GGL_GEN_02,Google Ads,open demat account,High Intent Traders,Maximize Conversions,1437.63,5.1,0.5
2025-11-23,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Video Engagers,Cost Cap,2030.33,5.2,0.381
2025-11-23,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Video Engagers,Highest Volume,1097.63,5.0,0.34
2025-11-24,CAMP_GGL_BRAND_01,Google Ads,best trading platform,KYC Dropoff,Maximize Conversions,2684.96,6.2,0.461
2025-11-24,CAMP_GGL_BRAND_01,Google Ads,best trading platform,App Installers,Maximize Conversions,1628.66,,0.479
2025-11-24,CAMP_GGL_BRAND_01,Google Ads,best trading platform,KYC Dropoff,Target ROAS,2445.47,8.0,0.271
2025-11-24,CAMP_GGL_BRAND_01,Google Ads,stock trading app,Brand Searchers,Maximize Conversions,2272.29,7.5,0.416
2025-11-24,CAMP_GGL_GEN_02,Google Ads,open demat account,Brand Searchers,Maximize Conversions,2292.16,5.4,0.535
2025-11-24,CAMP_META_AWR_05,Meta (FB/IG),options traders,Finance Interests,Highest Volume,1849.99,5.5,0.592
2025-11-24,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Retarget 30D,Highest Volume,700.96,8.3,0.505
2025-11-24,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Finance Interests,Bid Cap,2624.24,4.1,0.571
2025-11-25,CAMP_GGL_BRAND_01,Google Ads,intraday app,Brand Searchers,Target CPA,898.13,7.1,0.447
2025-11-25,CAMP_GGL_BRAND_01,Google Ads,mutual funds app,High Intent Traders,Target ROAS,1255.02,3.9,0.644
2025-11-25,CAMP_GGL_GEN_02,Google Ads,open demat account,KYC Dropoff,Target ROAS,1642.32,9.3,0.561
2025-11-25,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Lookalike 2%,Cost Cap,3046.67,4.0,0.739
2025-11-25,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Finance Managers,Target Cost,554.76,7.2,0.688
2025-11-25,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,B2B Partners,Target Cost,500.53,5.9,0.565
2025-11-26,CAMP_GGL_BRAND_01,Google Ads,best trading platform,High Intent Traders,Target ROAS,2814.91,8.3,0.388
2025-11-26,CAMP_GGL_BRAND_01,Google Ads,open demat account,KYC Dropoff,Target CPA,1881.71,3.9,0.373
2025-11-26,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,KYC Dropoff,Target CPA,2373.64,4.6,0.254
2025-11-26,CAMP_GGL_BRAND_01,Google Ads,open demat account,High Intent Traders,Target CPA,3155.90,8.7,0.289
2025-11-26,CAMP_GGL_GEN_02,Google Ads,zero brokerage,Brand Searchers,Target CPA,2130.78,5.6,0.517
2025-11-26,CAMP_GGL_GEN_02,Google Ads,stock trading app,KYC Dropoff,Maximize Conversions,2133.23,6.1,0.57
2025-11-26,CAMP_GGL_GEN_02,Google Ads,open demat account,App Installers,Target CPA,2211.87,8.3,0.203
2025-11-26,CAMP_GGL_GEN_02,Google Ads,best trading platform,Brand Searchers,Target ROAS,1787.48,9.2,0.413
2025-11-26,CAMP_META_AWR_05,Meta (FB/IG),options traders,Finance Interests,Cost Cap,2764.36,8.3,0.191
2025-11-26,CAMP_META_AWR_05,Meta (FB/IG),trading beginners,Lookalike 2%,Cost Cap,1914.72,4.0,0.621
2025-11-26,CAMP_META_AWR_05,Meta (FB/IG),pan kyc completion,Lookalike 2%,Cost Cap,3009.55,4.9,0.733
2025-11-26,CAMP_LI_B2B_08,LinkedIn Ads,partner onboarding,Startup Founders,Maximum Delivery,1369.55,7.9,0.228
2025-11-27,CAMP_GGL_BRAND_01,Google Ads,intraday app,High Intent Traders,Target CPA,2696.39,6.2,0.312
2025-11-27,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,App Installers,Target ROAS,2412.71,6.6,0.437
2025-11-27,CAMP_GGL_BRAND_01,Google Ads,intraday app,Brand Searchers,Target CPA,2549.99,9.4,0.58
2025-11-27,CAMP_GGL_GEN_02,Google Ads,mutual funds app,Brand Searchers,Target CPA,3507.87,4.0,0.659
2025-11-27,CAMP_META_AWR_05,Meta (FB/IG),options traders,Retarget 30D,Cost Cap,1965.26,9.2,0.535
2025-11-27,CAMP_META_AWR_05,Meta (FB/IG),trading beginners,Lookalike 2%,Highest Volume,910.55,4.8,0.703
2025-11-27,CAMP_META_AWR_05,Meta (FB/IG),pan kyc completion,Finance Interests,Cost Cap,1271.25,4.3,0.616
2025-11-27,CAMP_META_AWR_05,Meta (FB/IG),trading beginners,Finance Interests,Cost Cap,2154.83,9.6,0.507
2025-11-27,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Finance Managers,Maximum Delivery,804.41,9.4,0.556
2025-11-27,CAMP_LI_B2B_08,LinkedIn Ads,partner onboarding,B2B Partners,Maximum Delivery,780.76,7.8,0.756
2025-11-28,CAMP_GGL_BRAND_01,Google Ads,open demat account,App Installers,Maximize Conversions,3565.78,6.3,0.731
2025-11-28,CAMP_GGL_GEN_02,Google Ads,best trading platform,KYC Dropoff,Maximize Conversions,3258.50,5.9,0.249
2025-11-28,CAMP_GGL_GEN_02,Google Ads,best trading platform,High Intent Traders,Maximize Conversions,1916.42,9.0,0.785
2025-11-28,CAMP_GGL_GEN_02,Google Ads,best trading platform,KYC Dropoff,Maximize Conversions,2987.48,8.6,0.75
2025-11-28,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Finance Interests,Bid Cap,2398.25,8.9,0.208
2025-11-28,CAMP_META_AWR_05,Meta (FB/IG),options traders,Video Engagers,Bid Cap,2904.86,7.3,0.765
2025-11-28,CAMP_META_AWR_05,Meta (FB/IG),pan kyc completion,Video Engagers,Bid Cap,2444.99,6.9,0.44
2025-11-28,CAMP_META_AWR_05,Meta (FB/IG),options traders,Lookalike 2%,Bid Cap,-100.25,9.0,0.566
2025-11-28,CAMP_LI_B2B_08,LinkedIn Ads,corporate finance app,Finance Managers,Maximum Delivery,1119.94,4.1,0.344
2025-11-28,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Startup Founders,Target Cost,415.91,9.5,0.61
2025-11-28,CAMP_LI_B2B_08,LinkedIn Ads,employee wealth plan,Startup Founders,Target Cost,1108.88,9.7,0.183
2025-11-28,CAMP_LI_B2B_08,LinkedIn Ads,corporate finance app,Finance Managers,Target Cost,325.49,9.1,0.527
2025-11-29,CAMP_GGL_BRAND_01,Google Ads,intraday app,Brand Searchers,Target CPA,2130.70,5.0,0.297
2025-11-29,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,Brand Searchers,Maximize Conversions,2520.64,8.7,0.274
2025-11-29,CAMP_GGL_GEN_02,Google Ads,zero brokerage,High Intent Traders,Maximize Conversions,1885.15,7.4,0.557
2025-11-29,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Retarget 30D,Bid Cap,2613.53,5.8,0.434
2025-11-29,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Finance Interests,Highest Volume,1076.25,3.8,0.413
2025-11-29,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Startup Founders,Maximum Delivery,856.55,5.2,0.534
2025-11-29,CAMP_LI_B2B_08,LinkedIn Ads,corporate finance app,B2B Partners,Target Cost,1295.40,9.1,0.714
2025-11-29,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Startup Founders,Target Cost,572.72,9.8,0.251
2025-11-30,CAMP_GGL_BRAND_01,Google Ads,intraday app,App Installers,Target ROAS,1854.15,9.3,0.69
2025-11-30,CAMP_GGL_BRAND_01,Google Ads,best trading platform,High Intent Traders,Target ROAS,3131.85,6.4,0.308
2025-11-30,CAMP_GGL_BRAND_01,Google Ads,best trading platform,Brand Searchers,Target ROAS,1279.92,3.9,0.562
2025-11-30,CAMP_GGL_GEN_02,Google Ads,best trading platform,High Intent Traders,Target ROAS,1643.95,5.0,0.284
2025-11-30,CAMP_GGL_GEN_02,Google Ads,open demat account,KYC Dropoff,Target CPA,1206.48,8.2,0.394
2025-11-30,CAMP_META_AWR_05,Meta (FB/IG),pan kyc completion,Video Engagers,Bid Cap,1167.19,6.9,0.584
2025-11-30,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Video Engagers,Cost Cap,1684.16,4.1,0.605
2025-11-30,CAMP_META_AWR_05,Meta (FB/IG),pan kyc completion,Video Engagers,Bid Cap,1873.77,8.1,0.393
2025-11-30,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Video Engagers,Highest Volume,1376.14,9.5,0.697
2025-11-30,CAMP_LI_B2B_08,LinkedIn Ads,employee wealth plan,Startup Founders,Maximum Delivery,1079.10,3.7,0.287
2025-11-30,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Finance Managers,Maximum Delivery,413.91,3.7,0.33
2025-11-30,CAMP_LI_B2B_08,LinkedIn Ads,partner onboarding,Startup Founders,Maximum Delivery,350.83,4.4,0.76
2025-12-01,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,App Installers,Maximize Conversions,2169.16,6.1,0.743
2025-12-01,CAMP_GGL_BRAND_01,Google Ads,mutual funds app,KYC Dropoff,Maximize Conversions,3174.56,7.1,0.239
2025-12-01,CAMP_GGL_BRAND_01,Google Ads,mutual funds app,Brand Searchers,Maximize Conversions,922.53,4.8,0.595
2025-12-01,CAMP_GGL_GEN_02,Google Ads,zero brokerage,High Intent Traders,Maximize Conversions,2442.18,6.4,0.494
2025-12-01,CAMP_GGL_GEN_02,Google Ads,mutual funds app,High Intent Traders,Maximize Conversions,1462.74,4.2,0.273
2025-12-01,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Retarget 30D,Highest Volume,1331.34,5.0,0.578
2025-12-01,CAMP_META_LG_06,Meta (FB/IG),pan kyc completion,Video Engagers,Cost Cap,1383.63,8.3,0.71
2025-12-01,CAMP_META_LG_06,Meta (FB/IG),pan kyc completion,Retarget 30D,Bid Cap,2017.38,7.1,0.545
2025-12-01,CAMP_META_LG_06,Meta (FB/IG),pan kyc completion,Retarget 30D,Bid Cap,2469.58,4.4,0.274
2025-12-01,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,B2B Partners,Target Cost,964.89,3.4,0.306
2025-12-02,CAMP_GGL_BRAND_01,Google Ads,mutual funds app,Brand Searchers,Target ROAS,3336.43,5.9,0.484
2025-12-02,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,Brand Searchers,Maximize Conversions,3571.13,8.8,0.194
2025-12-02,CAMP_GGL_BRAND_01,Google Ads,best trading platform,High Intent Traders,Target ROAS,2924.69,5.4,0.769
2025-12-02,CAMP_GGL_GEN_02,Google Ads,open demat account,App Installers,Target ROAS,-88.18,7.0,0.362
2025-12-02,CAMP_GGL_GEN_02,Google Ads,stock trading app,High Intent Traders,Target CPA,4517.22,6.4,0.483
2025-12-02,CAMP_GGL_GEN_02,Google Ads,mutual funds app,KYC Dropoff,Maximize Conversions,2670.30,7.6,0.58
2025-12-02,CAMP_GGL_GEN_02,Google Ads,best trading platform,KYC Dropoff,Target CPA,2630.18,4.6,0.581
2025-12-02,CAMP_META_AWR_05,Meta (FB/IG),pan kyc completion,Finance Interests,Bid Cap,1039.34,6.7,0.557
2025-12-02,CAMP_META_AWR_05,Meta (FB/IG),options traders,Finance Interests,Cost Cap,2658.74,6.2,0.426
2025-12-02,CAMP_META_LG_06,Meta (FB/IG),options traders,Finance Interests,Cost Cap,2323.06,5.4,0.76
2025-12-02,CAMP_META_LG_06,Meta (FB/IG),instant form lead,Lookalike 2%,Cost Cap,2215.96,5.5,0.74
2025-12-02,CAMP_META_LG_06,Meta (FB/IG),instant form lead,Finance Interests,Highest Volume,8342.44,5.1,0.19
2025-12-02,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Startup Founders,Maximum Delivery,1085.20,9.8,0.545
2025-12-02,CAMP_LI_B2B_08,LinkedIn Ads,employee wealth plan,Finance Managers,Target Cost,3797.38,4.1,0.319
2025-12-03,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,Brand Searchers,Target CPA,1600.41,4.5,0.737
2025-12-03,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,App Installers,Target ROAS,3401.24,3.5,0.442
2025-12-03,CAMP_GGL_GEN_02,Google Ads,zero brokerage,High Intent Traders,Maximize Conversions,1333.91,6.6,0.665
2025-12-03,CAMP_GGL_GEN_02,Google Ads,open demat account,Brand Searchers,Maximize Conversions,2453.01,9.6,0.637
2025-12-03,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Video Engagers,Bid Cap,1762.72,6.7,0.651
2025-12-03,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Video Engagers,Bid Cap,745.36,3.6,0.507
2025-12-03,CAMP_META_AWR_05,Meta (FB/IG),options traders,Lookalike 2%,Cost Cap,1538.56,4.1,0.737
2025-12-03,CAMP_META_LG_06,Meta (FB/IG),instant form lead,Retarget 30D,Highest Volume,2288.98,7.2,0.325
2025-12-03,CAMP_META_LG_06,Meta (FB/IG),digilocker pending,Finance Interests,Cost Cap,1930.52,4.6,0.352
2025-12-03,CAMP_META_LG_06,Meta (FB/IG),trading beginners,Finance Interests,Highest Volume,1177.74,3.4,0.653
2025-12-03,CAMP_META_LG_06,Meta (FB/IG),trading beginners,Video Engagers,Bid Cap,2670.93,7.3,0.784
2025-12-03,CAMP_LI_B2B_08,LinkedIn Ads,employee wealth plan,Finance Managers,Target Cost,1299.47,7.8,0.228
2025-12-04,CAMP_GGL_BRAND_01,Google Ads,intraday app,KYC Dropoff,Target ROAS,1230.81,,0.44
2025-12-04,CAMP_GGL_BRAND_01,Google Ads,best trading platform,High Intent Traders,Maximize Conversions,3359.76,4.4,0.441
2025-12-04,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,High Intent Traders,Maximize Conversions,894.68,3.4,0.646
2025-12-04,CAMP_GGL_BRAND_01,Google Ads,best trading platform,KYC Dropoff,Target ROAS,912.33,7.4,0.76
2025-12-04,CAMP_GGL_GEN_02,Google Ads,stock trading app,KYC Dropoff,Target CPA,3152.04,4.9,0.391
2025-12-04,CAMP_GGL_GEN_02,Google Ads,best trading platform,KYC Dropoff,Maximize Conversions,3553.12,7.7,0.283
2025-12-04,CAMP_GGL_GEN_02,Google Ads,best trading platform,App Installers,Target ROAS,1968.70,7.8,0.374
2025-12-04,CAMP_GGL_GEN_02,Google Ads,stock trading app,Brand Searchers,Target ROAS,1257.44,8.1,0.432
2025-12-04,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Retarget 30D,Bid Cap,996.69,5.1,0.573
2025-12-04,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Finance Interests,Bid Cap,3049.46,3.2,0.615
2025-12-04,CAMP_META_AWR_05,Meta (FB/IG),trading beginners,Retarget 30D,Cost Cap,2352.11,,0.487
2025-12-04,CAMP_META_AWR_05,Meta (FB/IG),options traders,Video Engagers,Bid Cap,2528.32,4.7,0.324
2025-12-04,CAMP_META_LG_06,Meta (FB/IG),trading beginners,Retarget 30D,Highest Volume,941.91,7.1,0.667
2025-12-04,CAMP_META_LG_06,Meta (FB/IG),instant form lead,Video Engagers,Cost Cap,905.47,6.9,0.37
2025-12-04,CAMP_META_LG_06,Meta (FB/IG),digilocker pending,Lookalike 2%,Bid Cap,2962.80,7.8,0.426
2025-12-04,CAMP_META_LG_06,Meta (FB/IG),pan kyc completion,Retarget 30D,Highest Volume,1624.84,8.3,0.717
2025-12-04,CAMP_LI_B2B_08,LinkedIn Ads,corporate finance app,B2B Partners,Target Cost,894.51,4.0,0.402
2025-12-04,CAMP_LI_B2B_08,LinkedIn Ads,partner onboarding,B2B Partners,Target Cost,1219.79,9.5,0.389
2025-12-04,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Startup Founders,Maximum Delivery,730.70,5.2,0.705
2025-12-05,CAMP_GGL_BRAND_01,Google Ads,mutual funds app,Brand Searchers,Target CPA,1779.34,5.6,0.257
2025-12-05,CAMP_GGL_BRAND_01,Google Ads,best trading platform,Brand Searchers,Target ROAS,2971.59,6.8,0.447
2025-12-05,CAMP_GGL_BRAND_01,Google Ads,open demat account,KYC Dropoff,Maximize Conversions,812.65,4.0,0.499
2025-12-05,CAMP_GGL_GEN_02,Google Ads,stock trading app,High Intent Traders,Target ROAS,1172.45,8.8,0.216
2025-12-05,CAMP_GGL_GEN_02,Google Ads,mutual funds app,KYC Dropoff,Target ROAS,3034.98,6.5,0.311
2025-12-05,CAMP_GGL_GEN_02,Google Ads,open demat account,App Installers,Target ROAS,1365.47,3.6,0.53
2025-12-05,CAMP_GGL_GEN_02,Google Ads,stock trading app,High Intent Traders,Target CPA,1435.11,4.1,0.395
2025-12-05,CAMP_GGL_DG_03,Google Ads,open demat account,App Installers,Target ROAS,2705.04,7.9,0.614
2025-12-05,CAMP_GGL_DG_03,Google Ads,best trading platform,High Intent Traders,Target ROAS,2553.78,5.5,0.348
2025-12-05,CAMP_META_AWR_05,Meta (FB/IG),options traders,Retarget 30D,Bid Cap,866.21,4.1,0.491
2025-12-05,CAMP_META_AWR_05,Meta (FB/IG),trading beginners,Video Engagers,Bid Cap,1703.60,3.6,0.412
2025-12-05,CAMP_META_AWR_05,Meta (FB/IG),trading beginners,Video Engagers,Cost Cap,2018.93,3.1,0.608
2025-12-05,CAMP_META_LG_06,Meta (FB/IG),digilocker pending,Lookalike 2%,Highest Volume,2179.80,8.1,0.745
2025-12-05,CAMP_META_LG_06,Meta (FB/IG),digilocker pending,Lookalike 2%,Bid Cap,2689.42,4.8,0.671
2025-12-05,CAMP_META_LG_06,Meta (FB/IG),pan kyc completion,Finance Interests,Highest Volume,2683.73,7.2,0.637
2025-12-05,CAMP_META_LG_06,Meta (FB/IG),instant form lead,Finance Interests,Cost Cap,1130.03,3.4,0.478
2025-12-05,CAMP_LI_B2B_08,LinkedIn Ads,partner onboarding,Finance Managers,Maximum Delivery,1092.85,9.4,0.577
2025-12-05,CAMP_LI_B2B_08,LinkedIn Ads,partner onboarding,Startup Founders,Maximum Delivery,436.05,3.1,0.233
2025-12-05,CAMP_LI_B2B_08,LinkedIn Ads,corporate finance app,B2B Partners,Maximum Delivery,497.29,6.6,0.746
2025-12-05,CAMP_LI_B2B_08,LinkedIn Ads,partner onboarding,B2B Partners,Target Cost,1258.84,9.6,0.358
2025-12-06,CAMP_GGL_BRAND_01,Google Ads,best trading platform,High Intent Traders,Target CPA,1598.55,8.1,0.32
2025-12-06,CAMP_GGL_GEN_02,Google Ads,best trading platform,High Intent Traders,Target ROAS,2598.04,6.3,0.222
2025-12-06,CAMP_GGL_GEN_02,Google Ads,best trading platform,High Intent Traders,Maximize Conversions,2823.39,,0.736
2025-12-06,CAMP_GGL_DG_03,Google Ads,intraday app,KYC Dropoff,Target CPA,2951.43,4.2,0.268
2025-12-06,CAMP_GGL_DG_03,Google Ads,best trading platform,KYC Dropoff,Target ROAS,1139.17,9.1,0.242
2025-12-06,CAMP_GGL_DG_03,Google Ads,stock trading app,High Intent Traders,Target CPA,2580.05,7.4,0.236
2025-12-06,CAMP_META_AWR_05,Meta (FB/IG),digilocker pending,Lookalike 2%,Bid Cap,2260.29,7.1,0.755
2025-12-06,CAMP_META_LG_06,Meta (FB/IG),instant form lead,Lookalike 2%,Cost Cap,962.30,7.2,0.181
2025-12-06,CAMP_META_LG_06,Meta (FB/IG),trading beginners,Lookalike 2%,Highest Volume,2152.32,4.3,0.292
2025-12-06,CAMP_META_LG_06,Meta (FB/IG),options traders,Retarget 30D,Cost Cap,1500.54,7.1,0.784
2025-12-06,CAMP_LI_B2B_08,LinkedIn Ads,corporate finance app,Startup Founders,Maximum Delivery,432.50,7.4,0.347
2025-12-06,CAMP_LI_B2B_08,LinkedIn Ads,wealth education,Finance Managers,Target Cost,1103.65,5.6,0.71
2025-12-07,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,Brand Searchers,Maximize Conversions,1292.15,6.5,0.476
2025-12-07,CAMP_GGL_BRAND_01,Google Ads,open demat account,High Intent Traders,Target CPA,2044.04,6.9,0.689
2025-12-07,CAMP_GGL_GEN_02,Google Ads,intraday app,KYC Dropoff,Target ROAS,-60.98,4.6,0.509
2025-12-07,CAMP_GGL_GEN_02,Google Ads,mutual funds app,KYC Dropoff,Target ROAS,3428.95,6.3,0.438
2025-12-07,CAMP_GGL_DG_03,Google Ads,open demat account,App Installers,Maximize Conversions,1098.31,6.4,0.337
2025-12-07,CAMP_GGL_DG_03,Google Ads,intraday app,Brand Searchers,Target CPA,2279.86,9.7,0.554
2025-12-07,CAMP_META_AWR_05,Meta (FB/IG),pan kyc completion,Lookalike 2%,Cost Cap,928.10,6.3,0.418
2025-12-07,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Finance Interests,Cost Cap,2827.32,7.7,0.469
2025-12-07,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Video Engagers,Bid Cap,1861.06,3.8,0.216
2025-12-07,CAMP_META_LG_06,Meta (FB/IG),options traders,Finance Interests,Cost Cap,2226.32,5.5,0.656
2025-12-07,CAMP_META_LG_06,Meta (FB/IG),options traders,Lookalike 2%,Highest Volume,972.61,6.0,0.363
2025-12-07,CAMP_META_LG_06,Meta (FB/IG),pan kyc completion,Finance Interests,Bid Cap,1747.83,8.0,0.577
2025-12-07,CAMP_META_LG_06,Meta (FB/IG),pan kyc completion,Lookalike 2%,Highest Volume,2214.93,8.6,0.72
2025-12-07,CAMP_LI_B2B_08,LinkedIn Ads,employee wealth plan,B2B Partners,Maximum Delivery,965.90,5.1,0.575
2025-12-08,CAMP_GGL_BRAND_01,Google Ads,intraday app,App Installers,Maximize Conversions,2456.29,5.0,0.665
2025-12-08,CAMP_GGL_BRAND_01,Google Ads,best trading platform,Brand Searchers,Maximize Conversions,3144.57,6.5,0.34
2025-12-08,CAMP_GGL_BRAND_01,Google Ads,open demat account,High Intent Traders,Maximize Conversions,1578.14,5.7,0.455
2025-12-08,CAMP_GGL_BRAND_01,Google Ads,zero brokerage,App Installers,Target ROAS,2861.77,3.8,0.366
2025-12-08,CAMP_GGL_GEN_02,Google Ads,best trading platform,App Installers,Target ROAS,1526.27,8.6,0.577
2025-12-08,CAMP_GGL_GEN_02,Google Ads,stock trading app,Brand Searchers,Target CPA,1015.03,3.8,0.5
2025-12-08,CAMP_GGL_DG_03,Google Ads,best trading platform,High Intent Traders,Maximize Conversions,2114.99,5.7,0.628
2025-12-08,CAMP_GGL_DG_03,Google Ads,best trading platform,KYC Dropoff,Maximize Conversions,2402.49,8.1,0.657
2025-12-08,CAMP_GGL_DG_03,Google Ads,stock trading app,High Intent Traders,Maximize Conversions,2230.43,4.6,0.303
2025-12-08,CAMP_META_AWR_05,Meta (FB/IG),options traders,Video Engagers,Cost Cap,1774.95,5.2,0.307
2025-12-08,CAMP_META_AWR_05,Meta (FB/IG),instant form lead,Lookalike 2%,Bid Cap,2365.47,9.5,0.688
2025-12-08,CAMP_META_LG_06,Meta (FB/IG),instant form lead,Lookalike 2%,Cost Cap,2003.22,7.0,0.746
2025-12-08,CAMP_LI_B2B_08,LinkedIn Ads,partner onboarding,Finance Managers,Maximum Delivery,992.65,6.0,0.647
2025-12-08,CAMP_LI_B2B_08,LinkedIn Ads,employee wealth plan,Finance Managers,Maximum Delivery,416.52,7.1,0.602
2025-12-08,CAMP_LI_B2B_08,LinkedIn Ads,employee wealth plan,B2B Partners,Target Cost,633.83,5.1,0.561
2025-12-08,CAMP_LI_B2B_08,LinkedIn Ads,employee wealth plan,B2B Partners,Maximum Delivery,321.62,3.5,0.346
2025-12-09,CAMP_GGL_BRAND_01,Google Ads,mutual funds app,KYC Dropoff,Maximize Conversions,2997.51,3.4,0.662
2025-12-09,CAMP_GGL_GEN_02,Google Ads,best trading platform,App Installers,Maximize Conversions,3155.52,8.5,0.299
2025-12-09,CAMP_GGL_GEN_02,Google Ads,mutual funds app,KYC Dropoff,Target CPA,1005.74,6.6,0.635
2025-12-09,CAMP_GGL_GEN_02,Google Ads,zero brokerage,Brand Searchers,Maximize Conversions,1138.28,9.8,0.597
2025-12-09,CAMP_GGL_GEN_02,Google Ads,mutual funds app,App Installers,Target ROAS,1246.76,5.0,0.323
2025-12-09,CAMP_GGL_DG_03,Google Ads,best trading platform,High Intent Traders,Target CPA,3544.54,8.0,0.359
2025-12-09,CAMP_GGL_DG_03,Google Ads,stock trading app,KYC Dropoff,Target CPA,3164.92,5.3,0.719
